Sequence,Order_,FamilyName,Family,Subfamily,Tribe,CommonName,Scientific,Authority,BirdLifeTa,RedListCat,Synonyms,Alternativ,TaxonomicN,SISRecID
500,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Brazilian Teal,Amazonetta brasiliensis,"(Gmelin, 1789)",R,LC,NA,NA,NA,22680115
501,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Garganey,Spatula querquedula,"(Linnaeus, 1758)",R,LC,Anas querquedula,Sarcelle d'été,Spatula querquedula (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680313
502,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Spotted Teal,Spatula hottentota,"(Eyton, 1838)",R,LC,Anas hottentota,"Hottentot Teal, Sarcelle hottentote",Spatula hottentota (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680332
503,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Puna Teal,Spatula puna,"(Tschudi, 1844)",R,LC,Anas puna,NA,Spatula puna (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680326
504,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Silver Teal,Spatula versicolor,"(Vieillot, 1816)",R,LC,Anas versicolor,NA,Spatula versicolor (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680329
505,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Red Shoveler,Spatula platalea,"(Vieillot, 1816)",R,LC,Anas platalea,NA,Spatula platalea (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680240
506,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Cape Shoveler,Spatula smithii,"Hartert, 1891",R,LC,Anas smithii,Canard du Cap,Spatula smithii (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680236
507,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Australian Shoveler,Spatula rhynchotis,"(Latham, 1801)",R,LC,Anas rhynchotis,NA,Spatula rhynchotis (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680243
508,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Northern Shoveler,Spatula clypeata,"(Linnaeus, 1758)",R,LC,Anas clypeata,"Canard souchet, Shoveler",Spatula clypeata (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680247
509,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Cinnamon Teal,Spatula cyanoptera,"(Vieillot, 1816)",R,LC,Anas cyanoptera,NA,Spatula cyanoptera (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680233
510,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Blue-winged Teal,Spatula discors,"(Linnaeus, 1766)",R,LC,Anas discors,Sarcelle à ailes bleues,Spatula discors (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680229
511,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Baikal Teal,Sibirionetta formosa,"(Georgi, 1775)",R,LC,Anas formosa,Cerceta del Baikal,Sibirionetta formosa (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680317
512,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Falcated Duck,Mareca falcata,"(Georgi, 1775)",R,NT,Anas falcata,Falcated Teal,Mareca falcata (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680153
513,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Gadwall,Mareca strepera,"(Linnaeus, 1758)",R,LC,Anas strepera,Canard chipeau,Mareca strepera (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680149
514,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Eurasian Wigeon,Mareca penelope,"(Linnaeus, 1758)",R,LC,Anas penelope,"European Wigeon, Wigeon, Canard siffleur",Mareca penelope (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680157
515,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,American Wigeon,Mareca americana,"(Gmelin, 1789)",R,LC,Anas americana,Canard siffleur d'Amérique,Mareca americana (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680163
516,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Chiloe Wigeon,Mareca sibilatrix,"(Poeppig, 1829)",R,LC,Anas sibilatrix,NA,Mareca sibilatrix (del Hoyo and Collar 2014) was previously placed in the genus Anas.,22680167
517,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,African Black Duck,Anas sparsa,"Eyton, 1838",R,LC,NA,Canard noirâtre,NA,22680170
518,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Yellow-billed Duck,Anas undulata,"Dubois, 1839",R,LC,NA,Canard à bec jaune,NA,22680221
519,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Meller's Duck,Anas melleri,"P.L. Sclater, 1865",R,EN,NA,Canard de Meller,NA,22680225
520,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Pacific Black Duck,Anas superciliosa,"Gmelin, 1789",R,LC,NA,Grey Duck,NA,22680217
521,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Philippine Duck,Anas luzonica,"Fraser, 1839",R,VU,NA,NA,NA,22680214
522,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Chinese Spot-billed Duck,Anas zonorhyncha,"Swinhoe, 1866",R,LC,Anas poecilorhyncha,NA,NA,22736042
523,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Indian Spot-billed Duck,Anas poecilorhyncha,"Forster, 1781",R,LC,NA,NA,NA,22736541
524,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Laysan Duck,Anas laysanensis,"Rothschild, 1892",R,CR,NA,"Pato Real de Laysan, Laysan Teal",NA,22680203
525,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Mallard,Anas platyrhynchos,"Linnaeus, 1758",R,LC,NA,"Canard colvert, Common Mallard, Northern Mallard","Anas platyrhynchos and A. fulvigula (incorporating diazi) (del Hoyo and Collar 2014) were previously treated as A. platyrhynchos (incorporating diazi) and A. fulvigula following Sibley and Monroe (1990, 1993).",22680186
526,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,American Black Duck,Anas rubripes,"Brewster, 1902",R,LC,NA,Black Duck,NA,22680174
527,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Mottled Duck,Anas fulvigula,"Ridgway, 1874",R,LC,NA,NA,"Anas platyrhynchos and A. fulvigula (incorporating diazi) (del Hoyo and Collar 2014) were previously treated as A. platyrhynchos (incorporating diazi) and A. fulvigula following Sibley and Monroe (1990, 1993).",22680178
528,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Hawaiian Duck,Anas wyvilliana,"Sclater, 1878",R,EN,NA,Koloa Maoli,NA,22680199
529,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Mauritius Duck,Anas theodori,"Newton & Gadow, 1893",R,EX,NA,Mauritian Duck,NA,22728662
530,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Andaman Teal,Anas albogularis,"(Hume, 1873)",R,VU,NA,NA,"Anas gibberifrons and A. albogularis (del Hoyo and Collar 2014) were previously lumped as A. gibberifrons following Sibley and Monroe (1990, 1993).",22727280
531,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Sunda Teal,Anas gibberifrons,"Müller, 1842",R,NT,NA,NA,"Anas gibberifrons and A. albogularis (del Hoyo and Collar 2014) were previously lumped as A. gibberifrons following Sibley and Monroe (1990, 1993).",22727271
532,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Grey Teal,Anas gracilis,"Buller, 1869",R,LC,NA,NA,NA,22680271
533,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Chestnut Teal,Anas castanea,"(Eyton, 1838)",R,LC,NA,NA,NA,22680277
534,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Brown Teal,Anas chlorotis,"Gray, 1845",R,NT,NA,Pateke,NA,22728303
535,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Auckland Teal,Anas aucklandica,"(Gray, 1844)",R,VU,NA,Cerceta Alicorta de Auckland,NA,22680280
536,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Campbell Teal,Anas nesiotis,"(Fleming, 1935)",R,VU,NA,NA,NA,22724580
537,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Madagascar Teal,Anas bernieri,"(Hartlaub, 1860)",R,EN,NA,"Pato de Bernier, Cerceta Malgache, Sarcelle malgache de Bernier, Sarcelle de Madagascar, Cerceta de Madagascar, Canard de Bernier, Sarcelle de Bernier, Bernier's Teal",NA,22680252
538,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Cape Teal,Anas capensis,"Gmelin, 1789",R,LC,NA,Sarcelle du Cap,NA,22680145
539,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,White-cheeked Pintail,Anas bahamensis,"Linnaeus, 1758",R,LC,NA,NA,NA,22680287
540,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Red-billed Teal,Anas erythrorhyncha,"Gmelin, 1789",R,LC,NA,Canard à bec rouge,NA,22680290
541,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Northern Pintail,Anas acuta,"Linnaeus, 1758",R,LC,NA,"Canard pilet, Pintail",NA,22680301
542,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Southern Pintail,Anas eatoni,"(Sharpe, 1875)",R,VU,NA,Kerguelen Pintail,NA,22680306
543,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Amsterdam Duck,Anas marecula,"Olson & Jouventin, 1996",R,EX,NA,Amsterdam Island Duck,NA,22728666
544,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Yellow-billed Pintail,Anas georgica,"Gmelin, 1789",R,LC,NA,NA,NA,22680310
545,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Common Teal,Anas crecca,"Linnaeus, 1758",R,LC,NA,NA,"Common Teal A. crecca (del Hoyo et al. 2014) has been split into Common Teal A. crecca and Green-winged Teal Anas carolinensis (Handbook of the Birds of the World and BirdLife International 2020).
  
This change follows a revision to the scoring of the m",22680321
546,ANSERIFORMES,Anatidae,"Ducks, geese, swans",Anatinae,Anatini,Green-winged Teal,Anas carolinensis,"Gmelin, 1789",R,LC,NA,NA,"Common Teal A. crecca (del Hoyo et al. 2014) has been split into Common Teal A. crecca and Green-winged Teal Anas carolinensis (Handbook of the Birds of the World and BirdLife International 2020).
  
This change follows a revision to the scoring of the m",22729498
